[1/50] 220.41 sec(s) Train Acc: 0.29135 | Val Acc: 0.00000 | Train Loss: 1.89825 | Val Loss: 0.00000 -> val best (acc)
[2/50] 218.87 sec(s) Train Acc: 0.43425 | Val Acc: 0.00000 | Train Loss: 1.52612 | Val Loss: 0.00000 -> val best (acc)
[3/50] 218.10 sec(s) Train Acc: 0.50275 | Val Acc: 0.00000 | Train Loss: 1.37005 | Val Loss: 0.00000 -> val best (acc)
[4/50] 215.24 sec(s) Train Acc: 0.55935 | Val Acc: 0.00000 | Train Loss: 1.22420 | Val Loss: 0.00000 -> val best (acc)
[5/50] 218.79 sec(s) Train Acc: 0.59695 | Val Acc: 0.00000 | Train Loss: 1.13183 | Val Loss: 0.00000 -> val best (acc)
[6/50] 217.20 sec(s) Train Acc: 0.62720 | Val Acc: 0.00000 | Train Loss: 1.04567 | Val Loss: 0.00000 -> val best (acc)
[7/50] 208.05 sec(s) Train Acc: 0.65660 | Val Acc: 0.00000 | Train Loss: 0.97172 | Val Loss: 0.00000 -> val best (acc)
[8/50] 208.56 sec(s) Train Acc: 0.67535 | Val Acc: 0.00000 | Train Loss: 0.92419 | Val Loss: 0.00000 -> val best (acc)
[9/50] 214.80 sec(s) Train Acc: 0.69325 | Val Acc: 0.00000 | Train Loss: 0.87992 | Val Loss: 0.00000 -> val best (acc)
[10/50] 209.02 sec(s) Train Acc: 0.70695 | Val Acc: 0.00000 | Train Loss: 0.82516 | Val Loss: 0.00000 -> val best (acc)
[11/50] 207.81 sec(s) Train Acc: 0.71855 | Val Acc: 0.00000 | Train Loss: 0.78956 | Val Loss: 0.00000 -> val best (acc)
[12/50] 207.29 sec(s) Train Acc: 0.73245 | Val Acc: 0.00000 | Train Loss: 0.76810 | Val Loss: 0.00000 -> val best (acc)
[13/50] 212.18 sec(s) Train Acc: 0.74350 | Val Acc: 0.00000 | Train Loss: 0.72543 | Val Loss: 0.00000 -> val best (acc)
