[1/50] 466.63 sec(s) Train Acc: 0.29965 | Val Acc: 0.00000 | Train Loss: 2.12212 | Val Loss: 0.00000 -> val best (acc)
[2/50] 459.36 sec(s) Train Acc: 0.40120 | Val Acc: 0.00000 | Train Loss: 1.75011 | Val Loss: 0.00000 -> val best (acc)
[3/50] 455.73 sec(s) Train Acc: 0.45660 | Val Acc: 0.00000 | Train Loss: 1.58153 | Val Loss: 0.00000 -> val best (acc)
[4/50] 454.65 sec(s) Train Acc: 0.47320 | Val Acc: 0.00000 | Train Loss: 1.53111 | Val Loss: 0.00000 -> val best (acc)
[5/50] 451.51 sec(s) Train Acc: 0.46925 | Val Acc: 0.00000 | Train Loss: 1.51399 | Val Loss: 0.00000 -> val best (acc)
[6/50] 460.51 sec(s) Train Acc: 0.53715 | Val Acc: 0.00000 | Train Loss: 1.33567 | Val Loss: 0.00000 -> val best (acc)
[7/50] 462.70 sec(s) Train Acc: 0.58240 | Val Acc: 0.00000 | Train Loss: 1.19443 | Val Loss: 0.00000 -> val best (acc)
[8/50] 453.44 sec(s) Train Acc: 0.61265 | Val Acc: 0.00000 | Train Loss: 1.12383 | Val Loss: 0.00000 -> val best (acc)
[9/50] 452.23 sec(s) Train Acc: 0.63670 | Val Acc: 0.00000 | Train Loss: 1.05862 | Val Loss: 0.00000 -> val best (acc)
[10/50] 452.53 sec(s) Train Acc: 0.64490 | Val Acc: 0.00000 | Train Loss: 1.01917 | Val Loss: 0.00000 -> val best (acc)
[11/50] 452.90 sec(s) Train Acc: 0.66880 | Val Acc: 0.00000 | Train Loss: 0.96371 | Val Loss: 0.00000 -> val best (acc)
[12/50] 452.59 sec(s) Train Acc: 0.66215 | Val Acc: 0.00000 | Train Loss: 0.97458 | Val Loss: 0.00000 -> val best (acc)
[13/50] 452.20 sec(s) Train Acc: 0.67610 | Val Acc: 0.00000 | Train Loss: 0.93461 | Val Loss: 0.00000 -> val best (acc)
[14/50] 452.49 sec(s) Train Acc: 0.69225 | Val Acc: 0.00000 | Train Loss: 0.88169 | Val Loss: 0.00000 -> val best (acc)
[15/50] 468.96 sec(s) Train Acc: 0.68015 | Val Acc: 0.00000 | Train Loss: 0.92430 | Val Loss: 0.00000 -> val best (acc)
[16/50] 464.56 sec(s) Train Acc: 0.68495 | Val Acc: 0.00000 | Train Loss: 0.90589 | Val Loss: 0.00000 -> val best (acc)
[17/50] 465.24 sec(s) Train Acc: 0.72355 | Val Acc: 0.00000 | Train Loss: 0.79967 | Val Loss: 0.00000 -> val best (acc)
